city,country,date,lat,lng,temp,max temp,humidity,cloudiness,wind_speed_mph
pisco,PE,1620174993,-13.7,-76.2167,68.0,68.0,83,0,14.97
pitimbu,BR,1620175078,-7.4706,-34.8086,73.4,73.4,100,0,3.44
marawi,PH,1620175078,7.9986,124.2928,84.99,84.99,73,100,1.99
bengkulu,ID,1620175079,-3.8004,102.2655,78.46,78.46,87,98,5.66
cockburn town,TC,1620175080,21.4612,-71.1419,78.8,78.8,73,40,12.66
dhrol,IN,1620175080,22.5667,70.4167,84.0,84.0,100,0,11.74
tabou,CI,1620175081,4.423,-7.3528,78.13,78.13,88,87,8.77
port hedland,AU,1620175081,-20.3167,118.5667,73.4,73.4,100,75,11.5
kodiak,US,1620175082,57.79,-152.4072,44.6,44.6,65,40,21.85
rawson,AR,1620175083,-43.3002,-65.1023,49.03,49.03,44,18,9.35
yarmouth,US,1620175084,41.7057,-70.2286,47.68,48.99,93,90,9.22
ulaangom,MN,1620175084,49.9811,92.0667,44.01,44.01,39,26,9.44
castro,BR,1620175085,-24.7911,-50.0119,60.62,60.62,63,98,3.0
boa vista,BR,1620175086,2.8197,-60.6733,78.8,78.8,83,20,2.3
kamiiso,JP,1620175086,41.8167,140.65,59.0,59.0,63,75,8.05
inuvik,CA,1620175087,68.3499,-133.7218,29.28,30.2,69,35,8.05
tiksi,RU,1620175088,71.6872,128.8694,29.91,29.91,90,100,10.07
antalaha,MG,1620175088,-14.9003,50.2788,74.64,74.64,87,1,3.33
tilichiki,RU,1620174790,60.4667,166.1,25.12,25.12,79,51,10.83
ray,IN,1620175089,23.6833,85.05,69.8,69.8,88,40,6.82
imperial,US,1620174919,33.0334,-115.4175,94.28,96.8,7,1,6.91
isangel,VU,1620175091,-19.55,169.2667,82.4,82.4,78,20,5.75
hollins,US,1620175091,37.3413,-79.9431,72.1,75.2,60,40,9.22
guerrero negro,MX,1620174867,27.9769,-114.0611,64.94,64.94,70,0,16.75
kunming,CN,1620175092,25.0389,102.7183,59.0,59.0,82,75,6.71
bethel,US,1620175093,41.3712,-73.414,58.98,60.8,72,90,4.61
sungaipenuh,ID,1620175094,-2.0833,101.3833,69.35,69.35,90,92,0.45
batouri,CM,1620175094,4.4333,14.3667,67.26,67.26,98,83,2.33
bluff,NZ,1620175095,-46.6,168.3333,57.99,57.99,52,7,5.01
lata,PT,1620175096,40.1629,-8.3327,52.93,57.0,90,97,4.0
ponta do sol,PT,1620175096,32.6667,-17.1,53.53,57.99,54,3,8.01
codrington,AU,1620175097,-38.2667,141.9667,59.67,59.67,65,35,9.17
